N,P,K,temperature,humidity,ph,rainfall,label
156,77,230,39.03,71.07,6.82,127.72,ladyfinger
160,47,165,22.91,70.77,6.43,109.07,spinach
144,63,242,31.53,53.5,6.56,85.76,chilli
182,90,237,28.42,59.64,5.83,117.16,tomato
168,71,237,28.69,63.57,6.12,76.41,chilli
134,67,227,29.54,58.47,6.71,79.85,chilli
217,77,257,31.87,58.94,5.67,173.58,tomato
171,56,212,34.84,69.36,6.51,103.26,ladyfinger
104,54,174,20.34,55.42,7.09,80.71,spinach
180,77,201,27.2,60.39,5.9,51.48,chilli
94,73,229,20.59,51.29,6.91,77.71,spinach
144,52,252,29.82,53.45,6.36,98.45,chilli
149,67,225,26.55,53.45,6.3,102.84,chilli
208,74,217,32.26,59.09,6.29,150.87,tomato
129,70,218,24.37,65.67,6.92,88.2,spinach
102,30,193,25.3,80.0,6.13,89.93,spinach
174,66,320,24.78,56.57,6.37,135.01,tomato
117,56,230,19.55,67.95,6.38,80.57,spinach
133,54,212,33.01,72.32,6.56,123.11,ladyfinger
128,58,248,29.44,72.11,6.5,105.88,ladyfinger
198,82,280,29.55,60.21,6.08,117.98,tomato
165,77,277,31.1,72.14,7.07,63.27,ladyfinger
166,73,254,29.22,71.54,6.98,105.44,ladyfinger
163,70,254,31.99,48.42,5.58,106.36,chilli
141,67,211,32.08,76.0,6.38,101.4,ladyfinger
132,61,192,22.98,54.99,6.78,76.3,spinach
129,71,256,33.37,56.83,5.87,95.38,chilli
167,77,277,25.7,57.88,6.35,71.46,tomato
171,55,311,29.41,56.06,6.73,95.68,tomato
141,41,177,23.55,69.11,6.65,140.0,spinach
157,66,282,30.83,63.9,6.63,98.02,tomato
160,83,270,30.89,50.19,7.0,139.19,tomato
146,89,190,26.11,56.09,6.45,120.57,tomato
162,120,219,23.94,65.88,5.5,114.12,tomato
119,56,244,32.62,57.9,5.31,82.83,chilli
137,51,150,20.88,56.69,6.01,55.25,spinach
130,69,273,32.84,76.47,6.84,137.2,ladyfinger
150,67,232,26.46,54.77,6.16,90.66,chilli
150,58,238,35.04,57.74,6.77,59.49,chilli
111,48,165,21.75,52.96,6.73,81.65,spinach
133,75,196,19.61,53.97,6.28,79.34,spinach
147,55,256,31.33,69.36,6.51,115.84,ladyfinger
139,71,233,26.92,70.94,6.52,47.96,spinach
154,89,232,27.6,60.58,5.6,100.53,tomato
177,58,265,33.15,55.0,6.52,101.07,ladyfinger
185,56,307,27.51,65.58,5.87,127.7,tomato
179,72,203,29.04,75.0,5.5,119.19,tomato
227,88,240,23.72,63.15,6.53,104.21,tomato
120,70,202,19.42,77.18,6.66,59.26,spinach
110,65,222,28.81,65.57,6.17,108.94,ladyfinger
174,56,223,27.57,55.0,5.96,75.45,ladyfinger
157,53,191,21.94,62.57,6.74,47.67,spinach
151,60,209,25.78,55.62,6.42,68.06,chilli
124,64,165,16.72,52.79,6.88,68.96,spinach
197,101,304,27.26,45.0,5.87,109.33,tomato
151,48,210,33.36,78.58,6.5,127.6,ladyfinger
178,60,217,28.64,45.66,5.87,112.15,chilli
169,55,225,27.42,68.44,6.28,116.58,ladyfinger
128,75,280,32.34,48.09,6.45,83.67,chilli
132,76,172,23.42,57.59,6.67,61.63,spinach
140,63,240,28.04,62.32,6.49,56.63,chilli
183,64,224,28.29,68.83,6.1,114.1,tomato
190,82,242,27.98,74.31,7.02,140.14,ladyfinger
135,100,241,33.31,58.94,5.36,97.9,chilli
189,55,275,36.87,55.0,6.44,101.21,ladyfinger
111,56,217,34.83,69.93,6.85,80.85,ladyfinger
158,50,290,25.94,69.31,6.63,87.85,tomato
141,50,258,32.96,73.19,6.25,103.85,ladyfinger
115,54,216,22.53,54.32,6.61,92.21,spinach
154,70,224,26.79,50.78,6.0,86.11,chilli
168,78,229,28.02,53.4,5.97,100.99,chilli
114,52,218,23.01,67.53,6.64,49.29,spinach
144,81,222,32.11,40.81,5.0,95.68,chilli
161,75,243,31.19,52.5,5.68,85.02,chilli
190,62,291,26.18,67.28,6.83,131.42,tomato
110,54,209,20.54,59.59,6.51,58.26,spinach
147,55,238,31.32,75.19,6.22,147.81,ladyfinger
176,82,272,29.91,62.07,6.68,82.03,tomato
149,65,207,27.28,67.98,6.62,78.94,spinach
205,60,230,29.69,64.96,7.31,130.69,ladyfinger
124,47,164,20.06,56.35,7.01,97.63,spinach
151,63,231,25.17,55.62,6.11,140.93,tomato
169,59,222,28.99,53.92,5.51,81.76,chilli
184,55,211,35.95,75.17,6.43,120.41,ladyfinger
168,88,238,33.79,62.2,6.71,98.42,ladyfinger
173,95,226,31.8,63.3,5.89,93.65,chilli
191,68,190,33.52,60.7,6.96,91.9,ladyfinger
114,71,217,21.59,60.84,6.4,88.57,spinach
117,53,228,23.78,50.0,6.7,83.89,spinach
139,50,246,30.11,57.44,6.79,140.69,ladyfinger
159,71,226,32.81,57.92,6.12,95.11,ladyfinger
184,71,202,31.58,85.0,6.44,102.8,ladyfinger
144,49,197,22.04,58.72,6.69,77.58,spinach
111,55,215,17.67,50.0,6.33,55.59,spinach
179,65,211,29.7,65.86,5.69,87.92,ladyfinger
145,63,273,33.49,61.36,5.99,96.82,ladyfinger
189,72,270,24.79,73.75,5.84,125.48,tomato
144,88,249,26.66,45.66,6.51,67.29,chilli
164,77,203,35.82,57.52,7.25,100.95,ladyfinger
149,95,219,30.69,63.0,6.91,101.8,ladyfinger
135,85,261,25.96,49.72,6.79,132.29,tomato
209,58,230,25.01,45.97,6.24,165.15,tomato
158,61,167,23.46,52.62,6.82,70.58,spinach
168,66,251,33.41,55.82,5.82,70.54,chilli
102,71,192,25.65,77.17,6.8,71.37,spinach
158,91,263,27.52,52.66,6.24,80.88,tomato
204,83,308,31.08,54.77,6.21,118.82,tomato
117,62,205,19.74,62.45,6.26,101.52,spinach
156,79,261,34.28,47.9,6.66,144.33,tomato
196,92,220,29.26,53.15,6.24,88.39,tomato
198,52,259,24.44,56.82,6.41,122.28,tomato
136,71,223,30.94,61.87,5.49,51.78,chilli
171,80,220,22.0,49.87,5.75,70.43,chilli
148,56,253,28.79,80.67,6.7,110.45,ladyfinger
